,flight_number,origin_station_code,destination_station_code,scheduled_departure_date,arrival_delay_group,departure_delay_group,entity,verbatim_text,seat_factor_band,ques_verbatim_text,loyalty_program_level,fleet_type_description,fleet_usage,response_group,sentiments,transformed_text
146,697,DEX,FCX,2022-09-17,Early & Ontime,Delayed,Domestic,Would have like to been offered a comp snack like pretzels.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,would like offer comp snack like pretzel
147,697,DEX,FCX,2022-09-17,Early & Ontime,Delayed,Domestic,Pretty small portions.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-800,Mainline,member,Neutral,pretti small portion
148,2281,LAX,BOX,2022-09-17,Delayed,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX9,Mainline,member,Neutral,
149,1197,CUX,ORX,2022-09-15,Early & Ontime,Early & Ontime,Latin,we were not offer any food or snacks.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,offer food snack
150,2197,AUX,IAX,2022-09-15,Early & Ontime,Early & Ontime,Domestic,No thank you.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,thank
151,305,IAX,JAX,2022-09-18,Early & Ontime,Delayed,Domestic,Pretzels tasted a little stale.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A319-100,Mainline,member,Neutral,pretzel tast littl stale
152,2000,SFX,DEX,2022-09-14,Early & Ontime,Delayed,Domestic,The fruit in the fruitbowl part of the meal was surprisingly good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,global services,B777-200,Mainline,member,Neutral,fruit fruitbowl part meal surprisingli good
153,1075,LAX,DEX,2022-09-17,Delayed,Delayed,Domestic,Obviously selections have gone downhill.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A320-200,Mainline,member,Neutral,obvious select gone downhil
154,5385,CLX,DEX,2022-09-18,Early & Ontime,Early & Ontime,Domestic,"I think w such long flights, one round of beverages are hurried than never offered again.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,ERJ-175,Express,member,Neutral,think w long flight one round beverag hurri never offer
155,965,EWX,NAX,2022-09-18,Early & Ontime,Early & Ontime,Atlantic,Should give second chance for beverage.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B767-300,Mainline,member,Neutral,give second chanc beverag
156,767,SJX,ORX,2022-09-18,Early & Ontime,Early & Ontime,Latin,With 4 hours mid day we could have used something a bit more substantial.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member,Neutral,4 hour mid day could use someth bit substanti
157,881,IAX,LHX,2022-09-18,Delayed,Delayed,Atlantic,"It was a shame not to have some sort of hot food on the flight. On the outbound there was, but not on the return flight.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,shame sort hot food flight outbound return flight
158,6159,TAX,IAX,2022-09-20,Early & Ontime,Early & Ontime,Latin,Na.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,ERJ-175,Express,member,Neutral,na
159,2315,IAX,QRX,2022-09-19,Delayed,Delayed,Latin,Some more options would be nice.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member,Neutral,option would nice
160,1979,DEX,CVX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,The unique options made the flight very pleasant.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,uniqu option made flight pleasant
161,2311,ORX,EWX,2022-09-19,Delayed,Delayed,Domestic,Now you have to have the app with a credit card saved. No cash or credit card used. Better selection of food would be nice. the price is a little high.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,app credit card save cash credit card use better select food would nice price littl high
162,1781,SFX,TPX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,"I got the message prior to boarding to save a credit card for food purchases, which I did. However, many other passengers on the flight were not prepared and were complaining about this. I do not think this is the way to go, as it is way too inconvenient for passengers. I recommend bringing back the option to pay with a credit card onboard the aircraft.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,got messag prior board save credit card food purchas howev mani passeng flight prepar complain think way go way inconveni passeng recommend bring back option pay credit card onboard aircraft
163,703,CLX,IAX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,"Bring back the old ""Continental"" warm cookie and coffee for dessert. Same for the ice cream sundae treats the old ""Continental"" overseas flights offered. The nearly freeze dried ice cream and brownie wafer topping was a big let down on my Houston-Munich and Frankfurt-DC legs... Beverage selection was very good though.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-700,Mainline,member,Neutral,bring back old continent warm cooki coffe dessert ice cream sunda treat old continent oversea flight offer nearli freez dri ice cream browni wafer top big let leg beverag select good though
164,751,YYX,IAX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,
165,1842,SFX,IAX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,Chicken risotto dish was awful.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-900,Mainline,member,Neutral,chicken risotto dish aw
166,1986,IAX,PIX,2022-09-19,Delayed,Early & Ontime,Domestic,They do not need to give a whole can.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,need give whole
167,57,CDX,EWX,2022-09-19,Early & Ontime,Delayed,Atlantic,no.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,
168,34,NRX,LAX,2022-09-19,Delayed,Early & Ontime,Pacific,Amount of food was decreased when compared with flight 4 years ago (my last trip to the United States).,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B787-9,Mainline,member,Neutral,amount food decreas compar flight 4 year ago last trip unit state
169,4897,SHX,DEX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,Make sure the plane is stocked with cookies before each flight lol.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-145,Express,non-member,Neutral,make sure plane stock cooki flight lol
170,2014,SFX,ORX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,not much.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,much
171,2014,SFX,ORX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,Hot meals could be better.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,hot meal could better
172,731,EWX,ATX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,No food.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A319-100,Mainline,member,Neutral,food
173,1802,DEX,LAX,2022-09-21,Early & Ontime,Delayed,Domestic,"Everything has cheese, which is bad for lactose intolerant people or vegans.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-800,Mainline,member,Neutral,everyth chees bad lactos intoler peopl vegan
174,3415,IAX,BTX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,Biscoff cookies were not available.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,ERJ-175,Express,member,Neutral,biscoff cooki avail
175,1081,EWX,SJX,2022-09-21,Early & Ontime,Early & Ontime,Latin,The meal was excellent.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,meal excel
176,445,MSX,IAX,2022-09-19,Delayed,Early & Ontime,Domestic,I would like to recieve snacks and coke. Not just water and a cookie.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,would like reciev snack coke water cooki
177,2270,DEX,RDX,2022-09-20,Early & Ontime,Early & Ontime,Domestic,The waffles were overly sweet. Could not eat them. My husband's eggs were quite salty.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,waffl overli sweet could eat husband egg quit salti
178,366,CMX,DEX,2022-09-20,Delayed,Delayed,Domestic,Pretzels have always had a stale taste - find a new company.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,A320-200,Mainline,member,Neutral,pretzel alway stale tast find new compani
179,660,SEX,DEX,2022-09-18,Delayed,Delayed,Domestic,"Good was second class, tasteless not for the thousands I paid for first class.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,good second class tasteless thousand paid first class
180,910,ORX,AMX,2022-09-21,Early & Ontime,Early & Ontime,Atlantic,The Spanish Tempranillo was very good.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-8,Mainline,member,Neutral,spanish tempranillo good
181,1026,MEX,IAX,2022-09-21,Early & Ontime,Early & Ontime,Latin,Excellent flight staff.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,B737-700,Mainline,member,Neutral,excel flight staff
182,1828,IAX,LAX,2022-09-19,Early & Ontime,Early & Ontime,Domestic,More choices would be nice.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-800,Mainline,member,Neutral,choic would nice
183,2608,LAX,IAX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,Would be nice if there was something other than the snack boxes.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member,Neutral,would nice someth snack box
184,795,EWX,SAX,2022-09-21,Early & Ontime,Early & Ontime,Domestic,Nice variety.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,nice varieti
185,2200,IAX,DEX,2022-09-22,Early & Ontime,Delayed,Domestic,It ani't the way it [way] used to be.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,way way use
186,1885,EWX,RSX,2022-09-23,Delayed,Early & Ontime,Domestic,Like that I received the entire can of juice.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-MAX8,Mainline,member,Negative,like receiv entir juic
187,1629,MBX,EWX,2022-09-22,Early & Ontime,Delayed,Latin,No.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,
188,1017,IAX,CUX,2022-09-23,Early & Ontime,Early & Ontime,Latin,As I said above could not order snacks for my friends.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,said could order snack friend
189,2181,DEX,SFX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,More variety on the snacks.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B757-300,Mainline,member,Neutral,varieti snack
190,1607,MCX,IAX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,It would be nice to have an entire can of soda or bottle of water to ourselves.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member,Neutral,would nice entir soda bottl water
191,330,DEX,BNX,2022-09-24,Delayed,Delayed,Domestic,They do not have the pre-order now that I reserved option. I was happy with the option.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,A320-200,Mainline,member,Neutral,reserv option happi option
192,1506,BZX,DEX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,Loved the biscotti!.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,love biscotti
193,1741,ORX,RSX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,No.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,A320-200,Mainline,member,Neutral,
194,2073,BJX,IAX,2022-09-24,Early & Ontime,Early & Ontime,Latin,yes a beer.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A319-100,Mainline,non-member,Neutral,ye beer
195,1781,SFX,TPX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,No offer of additional food despite being a First Class passenger. Tried to pre-order gluten-free meal for wife and it kept kicking me out of the app.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-800,Mainline,member,Neutral,offer addit food despit first class passeng tri meal wife kept kick app
196,260,DEX,MCX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,"I am thankful that on this flight there was the choice of something that did not have sugar. Even though pretzels is a carb and it could spike the sugar, so I am thankful the airport stores sell nuts airlines before used to offer a small package of knots. I know everyone's Hass to watch the cost but yes the snacks right on the smaller side, thankful for the efficiency and friendliness of the attendance and the efficiency of the plane, mechanics and pilots. Super job!.",80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-800,Mainline,non-member,Neutral,thank flight choic someth sugar even though pretzel carb could spike sugar thank airport store sell nut airlin use offer small packag knot know everyon hass watch cost ye snack right smaller side thank effici friendli attend effici plane mechan pilot super job
197,2360,MCX,EWX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
198,327,IAX,SEX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,Shortage of snack box options.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-MAX8,Mainline,member,Neutral,shortag snack box option
199,2270,DEX,RDX,2022-09-24,Early & Ontime,Delayed,Domestic,Simple and good.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-800,Mainline,member,Neutral,simpl good
200,355,RSX,ORX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,Offer soft alcoholic drinks such as beer and wine at no charge.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member,Neutral,offer soft alcohol drink beer wine charg
201,695,SFX,KOX,2022-09-24,Early & Ontime,Delayed,Domestic,Great improvement from previous flights with business class.,70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,great improv previou flight busi class
202,703,CLX,IAX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,You could offer at least more cookies.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-700,Mainline,member,Neutral,could offer least cooki
203,1797,EWX,ORX,2022-09-24,Early & Ontime,Early & Ontime,Domestic,I would love to have a Dr Pepper served on United flights!. Southwest Airlines provides Dr Pepper. Why does not United?.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,would love dr pepper serv unit flight southwest airlin provid dr pepper unit
204,1031,MSX,IAX,2022-09-23,Early & Ontime,Early & Ontime,Domestic,No service in Busineess class before the flight. Some flight you get device before take off. Inconsistent. Drink service seemed late and did not come back to ask for a refill. Weather was good and no turbulence.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-MAX8,Mainline,member,Neutral,servic busineess class flight flight get devic take inconsist drink servic seem late come back ask refil weather good turbul
205,2128,DEX,ATX,2022-09-24,Early & Ontime,Delayed,Domestic,"Please be more descriptive with the food and stop trying to be so healthy or at least have options. The whole grain buns were gross. The mushy risotto whatever was gross. The spinach throughout, gross. The chicken had good spice, cooked well for a microwave, and plated nicely. Tomato sauce was nice. But the rest was just gross and inedible. With a real bread roll or toast and some actual normal pasta that would be a delicious meal. Similar to some that Lufthansa serve. This was too healthy to be edible.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-900,Mainline,member,Neutral,pleas descript food stop tri healthi least option whole grain bun gross mushi risotto whatev gross spinach throughout gross chicken good spice cook well microwav plate nice tomato sauc nice rest gross ined real bread roll toast actual normal pasta would delici meal similar lufthansa serv healthi edibl
206,2044,IAX,RTX,2022-09-24,Delayed,Delayed,Latin,More choices.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,choic
207,2292,IAX,MCX,2022-09-22,Early & Ontime,Early & Ontime,Domestic,Coffee was hot <😊>.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,coffe hot
208,2372,DFX,SFX,2022-09-25,Delayed,Delayed,Domestic,"In the past, there was a separate serving of warm fresh croissants, cinnamon rolls. now you get one dried out croissant with your breakfast meal.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,A319-100,Mainline,member,Neutral,past separ serv warm fresh croissant cinnamon roll get one dri croissant breakfast meal
209,5844,CPX,DEX,2022-09-25,Delayed,Delayed,Domestic,Too short of a flight for service. That is fine.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member,Neutral,short flight servic fine
210,2454,BIX,DEX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,would still like to pay during flight... I am not going to order food/snacks under current pay system.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,would still like pay flight go order current pay system
211,3707,MSX,ORX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,Turbulence kept the service from happening.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-170,Express,member,Neutral,turbul kept servic happen
212,3436,CMX,EWX,2022-09-26,Delayed,Delayed,Domestic,The selection was good. the quality was poor and gross to drink. Both the purchased sparkling wine and complimentary sparkling water.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,select good qualiti poor gross drink purchas sparkl wine complimentari sparkl water
213,4465,DCX,ORX,2022-09-26,Delayed,Early & Ontime,Domestic,There should be a light meal served.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-550,Express,member,Neutral,light meal serv
214,1902,GUX,IAX,2022-09-26,Early & Ontime,Early & Ontime,Latin,Extraordinary flight attendants.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B737-800,Mainline,member,Neutral,extraordinari flight attend
215,1409,IAX,BZX,2022-09-26,Early & Ontime,Early & Ontime,Latin,I had not received the option to preorder in the past. Great feature - makes for a satisfying in flight meal experience.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,receiv option preorder past great featur make satisfi flight meal experi
216,2343,DEX,MFX,2022-09-25,Early & Ontime,Early & Ontime,Domestic,"I like it when I get the whole can, not just a pour...some flights yes some no.",70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-800,Mainline,member,Neutral,like get whole pour flight ye
217,510,FCX,EWX,2022-09-26,Delayed,Delayed,Atlantic,None.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,none
218,510,FCX,EWX,2022-09-26,Delayed,Delayed,Atlantic,I thought maybe a sherbet would have been a bit better.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B777-200,Mainline,non-member,Neutral,thought mayb sherbet would bit better
219,3019,CDX,IAX,2022-09-26,Delayed,Delayed,Atlantic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-200,Mainline,member,Neutral,
220,1824,SFX,DEX,2022-09-25,Early & Ontime,Delayed,Domestic,Loved the champagne welcome as we were getting seated.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-MAX9,Mainline,member,Neutral,love champagn welcom get seat
221,3463,ORX,CVX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,There were not any. we got in early so I do not really care.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-170,Express,member,Neutral,got earli realli care
222,1408,IAX,LAX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,Please give bottle so that I may mix my own drink.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-700,Mainline,member,Neutral,pleas give bottl may mix drink
223,998,ACX,IAX,2022-09-26,Early & Ontime,Early & Ontime,Atlantic,Food was so tasty and seasoned so well!. Dessert option was not the best. It was ice cream. I am lactose intolérant. No to the Dasani water.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B787-8,Mainline,non-member,Neutral,food tasti season well dessert option best ice cream lactos intolér dasani water
224,85,EWX,TLX,2022-09-26,Early & Ontime,Delayed,Atlantic,The food and beverages were ok.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B787-10,Mainline,member,Neutral,food beverag ok
225,1111,OGX,LAX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,Tasty snacks.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-MAX9,Mainline,non-member,Neutral,tasti snack
226,1046,DEX,IAX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,"I pre ordered my breakfast but then was informed my selection was not available. Nor was the second alternative available. The last alternative was something I did not want. No fault of the flight attendant, but why give passengers the option to pre order when what they select is not available?.",90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,pre order breakfast inform select avail second altern avail last altern someth want fault flight attend give passeng option pre order select avail
227,58,EWX,CDX,2022-09-27,Early & Ontime,Delayed,Atlantic,The selection and availability needs improvement.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B777-300,Mainline,member,Neutral,select avail need improv
228,1935,LAX,DEX,2022-09-27,Delayed,Early & Ontime,Domestic,A 1st Class seat should have better food or snack options.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier silver,B737-MAX9,Mainline,member,Neutral,1st class seat better food snack option
229,1206,KOX,LAX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,The chicken dinner was surprisingly tasty. We ate all of it.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,chicken dinner surprisingli tasti ate
230,901,LHX,SFX,2022-09-27,Early & Ontime,Early & Ontime,Atlantic,"The selection was good. It is a business class meal, maybe bring back a proper appetizer, bread basket, etc. The salad offered with the meal was very unappetizing. It had a dressing in the bottom of the bowl with the salad on top. Probably the worst attempt at a salad on a plane I have had.",0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier 1k,B777-200,Mainline,member,Neutral,select good busi class meal mayb bring back proper appet bread basket etc salad offer meal unappet dress bottom bowl salad top probabl worst attempt salad plane
231,4340,IAX,ROX,2022-09-26,Early & Ontime,Delayed,Domestic,I realize it is a short flight but would prefer higher quality snack options for sale.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-145,Express,member,Neutral,realiz short flight would prefer higher qualiti snack option sale
232,791,ORX,YVX,2022-09-26,Early & Ontime,Early & Ontime,Domestic,Only one drink service on a 4 hour flight seemed paltry.,0 to 70,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier gold,B737-MAX9,Mainline,member,Neutral,one drink servic 4 hour flight seem paltri
233,2416,RNX,DEX,2022-09-27,Early & Ontime,Early & Ontime,Domestic,Not much I can say about complimentary snacks. They are pretty chinsey.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,A320-200,Mainline,non-member,Neutral,much say complimentari snack pretti chinsey
234,513,MIX,IAX,2022-09-27,Early & Ontime,Delayed,Domestic,I like that I was offered the can instead of just the small cup for my beverage.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-700,Mainline,non-member,Neutral,like offer instead small cup beverag
235,265,SAX,DEX,2022-09-28,Delayed,Delayed,Domestic,"Pretty ordinary selection of food..... I think we can do better..... Cheese cracker, snickers, M&Ms, beef jerky, pop corn etc......",70+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,premier platinum,A320-200,Mainline,member,Neutral,pretti ordinari select food think better chees cracker snicker ms beef jerki pop corn etc
236,2684,ORX,SAX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,No.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,A320-200,Mainline,member,Neutral,
237,1236,DEX,DFX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,no cookies or pretzels anymore with flight time \< 90 minutes?. I used to enjoy a stroopwaffel between DFW & IAH. Sad for this development.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,B737-900,Mainline,non-member,Neutral,cooki pretzel anymor flight time 90 minut use enjoy stroopwaffel dfw iah sad develop
238,5670,ORX,DSX,2022-09-26,Delayed,Delayed,Domestic,None setved.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,CRJ-200,Express,member,Neutral,none setv
239,2312,ORX,MSX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,Cups were filled halfway with lots of ice.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,cup fill halfway lot ice
240,5283,LNX,ORX,2022-09-28,Early & Ontime,Early & Ontime,Domestic,A little bag of something on the Chicago to Atlanta portion of the trip would have been nice.,80+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,,ERJ-175,Express,non-member,Neutral,littl bag someth chicago atlanta portion trip would nice
241,595,DEX,PHX,2022-09-29,Early & Ontime,Delayed,Domestic,I am 82. I remember the days of nice snacks and meals.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,B737-900,Mainline,member,Neutral,rememb day nice snack meal
242,6095,IAX,MSX,2022-09-29,Early & Ontime,Early & Ontime,Domestic,I did not hear. missed the part where I could have ordered a snack in advance. So consequently I only had the onboard snack to choose from. the pretzels tasted stale to me.,90+,Is there anything else you'd like to share about the food & beverage served on your flight from [CITY] to [CITY]?,non-elite,ERJ-175,Express,member,Neutral,hear miss part could order snack advanc consequ onboard snack choos pretzel tast stale
